Município;Telefone da Prefeitura;Secretaria de Assistência Social;Secretário(a);Contato da Secretaria;Endereço da Secretaria;Site da Prefeitura;Status do dado;Fonte;Observação
Mara Rosa;(62) 3366-2209;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;MOIZÉLIA DE CASTRO FERRAZ;"(62) 3366-2087 / Tel: (62) 3366-2087; E-mail: assistenciasocial@mararosa.go.gov.br";AVENIDA DR BOUSSU, 1, CENTRO, CEP: 76.490-000, MARA ROSA/GO;-;Confirmado via web;CadSUAS + https://mararosa.go.gov.br/estrutura-organizacional/?id=79;2026-08 — Página oficial da Secretaria Municipal da Assistência Social indica gestão 2025/2028 e lista Moizelia de Castro Ferraz (mesma pessoa do CadSUAS, grafia sem acento).
Marzagão;(64) 3450-1706 Ramal 1717;SECRETARIA DE ASSISTÊNCIA SOCIAL;Gislane Ribeiro dos Santos Souza;(64) 3450-1700 Ramal 1717;AVENIDA Av. Bernardo Sayão, 260, Centro, CEP: 75.670-000, MARZAGAO/GO;-;CadSUAS (gestão atual);CadSUAS;
Matrinchã;(62) 3391-1193;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Karine Garcia Santos;(62) 3391-1634;RUA 03, S/N, BELA VISTA, CEP: 76.730-000, MATRINCHA/GO;-;CadSUAS (gestão atual);CadSUAS;
Maurilândia;(64) 3647-7100;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;CLAUDIA GEORGINO DE SESSA MARTINS;(64) 3647-2269;RUA Sebastiao Alves de Faria, S/N, Lorena, CEP: 75.930-000, MAURILANDIA/GO;-;CadSUAS (gestão atual);CadSUAS;
Mimoso de Goiás;(62) 3463-1320;SECRETARIA MUNICIPAL DE PROMOÇÃO SOCIAL;DAVI ROSA DA COSTA;(62) 3463-1320;RUA 09 qd. 12, 09, CENTRO, CEP: 73.730-000, MIMOSO DE GOIAS/GO;-;CadSUAS (cadastro pré-2025, não confirmado);CadSUAS;Site oficial não lista secretários na estrutura organizacional. Única menção nominal encontrada a Davi Rosa Costa como secretário de assistência social é notícia oficial de 09/09/2021 (https://mimosodegoias.go.gov.br/ix-conferencia-municipal-de-assistencia-social/) — anterior a 2025, insuficiente para confirmar. Nenhuma fonte 2025-2026 localizada. Contato geral da prefeitura: (61) 99831-7169 / administracao@mimosodegoias.go.gov.br (não é contato específico da pasta).
Minaçu;(62) 3379-1020;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;MARLA DA CUNHA;(62) 3379-1020 Ramal 7;RUA 05, 295, CENTRO, CEP: 76.450-000, MINACU/GO;http://www.minacu.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Mineiros;(64) 3672-7801;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;VITOR GABRIEL DIAS RESENDE;(64) 3661-0033;AVENIDA Ino Rezende, qd. 01A, lt 01A, 0, Residencial Michelangelo, CEP: 75.834-042, MINEIROS/GO;-;CadSUAS (gestão atual);CadSUAS;
Moiporá;(64) 3686-1288;PM - SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Wanderli Maria Leite Ferreira;(64) 3686-1288;RUA 1, 0, LOTEAMENTO LIZANDRO, CEP: 76.135-000, MOIPORA/GO;-;CadSUAS (gestão atual);CadSUAS;
Monte Alegre de Goiás;(62) 3457-1231;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Joana Darc Saraiva de Sousa;(62) 3457-1121;PRAÇA SANTO ANTONIO, 30, CENTRO, CEP: 73.830-000, MONTE ALEGRE DE GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Montes Claros de Goiás;(62) 3370-1234;SECRETARIA MUNICIPAL DE ASSISTENCIA E PROMOCAO SOCIAL;ALESSANDRA CRISTINA RODRIGUES LEITE MACIEL;(62) 3370-1057;AVENIDA SANTOS DUMONT, 0, CENTRO, CEP: 76.255-000, MONTES CLAROS DE GOIAS/GO;http://www.montesclarosdegoias.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Montividiu;(64) 3629-1530;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;PAULA RODRIGUES DE SOUZA;Oculto para proteção de dados (LGPD);AVENIDA RIO VERDE, 0, CENTRO, CEP: 75.915-000, MONTIVIDIU/GO;http://www.montividiu.go.gov.br/novo_site/index.php;CadSUAS (gestão atual);CadSUAS;
Montividiu do Norte;(62) 3384-6282;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Luzia Abade Barreira Gonçalves;(62) 3384-6282;RUA RITA CANDIDA DE JESUS, 32, CENTRO, CEP: 76.465-000, MONTIVIDIU DO NORTE/GO;-;CadSUAS (gestão atual);CadSUAS;
Morrinhos;(64) 3417-2009;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL;Cristiane Teixeira Lima;(64) 3417-2098;RUA MAJOR LIMÍRIO, 236, CENTRO, CEP: 75.650-000, MORRINHOS/GO;-;CadSUAS (gestão atual);CadSUAS;
Morro Agudo de Goiás;(62) 3334-3144;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;MEIRE AUGUSTA DE LIMA ROSA;(62) 3334-3144 Ramal 27;AVENIDA AV. FLAMBOYANT, 749, CENTRO, CEP: 76.355-000, MORRO AGUDO DE GOIAS/GO;http://www.prefeiturademorroagudo.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Mossâmedes;(64) 3377-1129;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;JONAS EVANGELISTA DIAS GOMES;(64) 3377-1142;AVENIDA AVENIDA JOÃO FERREIRA DA CUNHA, 631, CENTRO, CEP: 76.150-000, MOSSAMEDES/GO;-;CadSUAS (gestão atual);CadSUAS;
Mozarlândia;(62) 3348-6333;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;LUCIANA DA VEIGA JARDIM;(62) 3348-7086;RUA São Paulo, S/Nº, CENTRO, CEP: 76.700-000, MOZARLANDIA/GO;https://www.mozarlandia.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Mundo Novo;(62) 3391-3488;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Dilva Dias da Silva;(62) 3391-3506;AVENIDA TAMBURIS, S/N, SAO LOURENÇO, CEP: 76.530-000, MUNDO NOVO/GO;-;Confirmado via web;CadSUAS + https://mundonovo.go.gov.br/3294-2/;"2026-05 — Notícia do site oficial da prefeitura publicada em 12/05/2026 cita 'a secretária municipal de Assistência Social, Dilva Dias' ao lado da prefeita Marlene Lourenço — mesma pessoa do CadSUAS (Dilva Dias da Silva), citada sem o sobrenome final. Nenhum contato direto da secretaria publicado; ouvidoria geral: ouvidoria@mundonovo.go.gov.br."
Mutunópolis;(62) 3382-6474;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;MARIA APARECIDA DE LIMA;(62) 3382-6474;RUA 7 de setembro, 350, CENTRO, CEP: 76.540-000, MUTUNOPOLIS/GO;-;CadSUAS (gestão atual);CadSUAS;
Nazário;(64) 3680-1230;PM - SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;ILIZENA MARIA DA CUNHA CARVALHO;"(64) 3680-1230 Ramal 217 / Tel: (64) 3680-1230 / (64) 3680-1524; E-mail: assistenciasocial@nazario.go.gov.br";PRAÇA Manuel Fernandes Teixeira, 42, CENTRO, CEP: 76.180-000, NAZARIO/GO;http://www.nazario.paginaoficial.ws/;Confirmado via web;CadSUAS + https://www.nazario.go.gov.br/estrutura-organizacional/;2026-08 — Estrutura organizacional oficial lista Ilizena Maria da Cunha Carvalho na Assistência Social. A página lista como prefeito João Batista Carvalho ('Ferruja'), reeleito em 2024 para 2025-2028 (fonte: otempo.com.br/eleicoes/2024/candidatos/goias/nazario/prefeito/ferruja-44), o que indica que a página reflete a gestão atual.
Nerópolis;(62) 3513-1309;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;TAUANNE NAYARA FERREIRA ALVES;(62) 3513-1309;PRAÇA ANTONIO DUTRA, Nº 01, CENTRO, CEP: 75.460-000, NEROPOLIS/GO;http://www.neropolis.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Niquelândia;(62) 3354-3439;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;CLAUDILENE ARANTES PIMENTEL MOREIRA;Oculto para proteção de dados (LGPD);PRAÇA Praça Mestre Dário, 01, Centro, CEP: 76.420-000, NIQUELANDIA/GO;-;CadSUAS (gestão atual);CadSUAS;
Nova América;(62) 3345-6144;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;EURIDIA MARIA DE SOUZA;(62) 3345-6144 Ramal 24;AVENIDA JUSCELINO KUBSCHEK, 329, CENTRO, CEP: 76.345-000, NOVA AMERICA/GO;-;CadSUAS (gestão atual);CadSUAS;
Nova Aurora;(64) 3698-1057 Ramal 1050;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;ISABELA PÁDUA SILVA;(64) 3698-1057 Ramal 1057 / Tel: (64) 3698-1057 / (64) 99973-1764 (publicados na página oficial da secretaria: https://novaaurora.go.gov.br/acao-social-trabalho-e-habitacao/);RUA BAHIA, 60, CENTRO, CEP: 75.750-000, NOVA AURORA/GO;-;Confirmado via web;CadSUAS + https://zapcatalao.com.br/nova-aurora-abre-comemoracoes-do-trabalhador-e-das-maes-com-festa-marcada-por-shows-e-grande-publico/;2026-05 — Notícia local de 02/05/2026 cita 'a secretária de Assistência Social Isabela Pádua' ao lado do prefeito Junior Marreco — mesma pessoa do CadSUAS (Isabela Pádua Silva). A página oficial da pasta (Promoção Social) publica os telefones, mas não o nome da titular.
Nova Crixás;(62) 3385-3180;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;Roberta Santos Pedroso Tavares;(62) 3385-3685;RUA MARECHAL DEODORO, 0, AEROPORTO, CEP: 76.520-000, NOVA CRIXAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Nova Glória;(62) 3345-3159;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;MARIA LEDA CABRAL DE OLIVEIRA;(62) 3345-3286;RUA Rua Heloisa de Fátima Vargas, 434, Setor Bispo, CEP: 76.305-000, NOVA GLORIA/GO;-;CadSUAS (cadastro pré-2025, não confirmado);CadSUAS;Atenção: no CadSUAS o mandato de Maria Leda Cabral de Oliveira já terminou em 31/12/2024. Nenhuma fonte 2025-2026 localizada nomeando titular atual — site oficial (novagloria.go.gov.br) não lista secretários e o portal de acesso à informação retornou 403. Contato geral da prefeitura: (62) 3345-3159 / admnovagloria@gmail.com (não é contato específico da pasta). Recomenda-se contato direto para apurar.
Nova Iguaçu de Goiás;(62) 3381-3159;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;SIRLENE MARIA SILVA OLIVEIRA;Oculto para proteção de dados (LGPD);AVENIDA TANCREDO NEVES, 69, SETOR CENTRAL, CEP: 76.495-000, NOVA IGUACU DE GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Nova Roma;(62) 3482-1282;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;MARLENE FERREIRA FIGUEREDO DE SOUZA;(62) 3482-1282;PRAÇA PRAÇA AUGUSTO PIO DE SANTANA, 01, centro, CEP: 73.820-000, NOVA ROMA/GO;-;CadSUAS (cadastro pré-2025, não confirmado);CadSUAS;Nenhuma fonte 2025-2026 localizada nomeando o(a) titular da assistência social. O site oficial (novaroma.go.gov.br) não lista secretários na estrutura organizacional. Termo de cooperação estadual de jan/2026 (goias.gov.br/social, TC-Nova-Roma.pdf) é digitalizado sem texto extraível. Contato geral da prefeitura: (62) 98280-0062 (não é contato específico da pasta).
Nova Veneza;(62) 3356-1120;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;MESSIANE ROSA AGAIPITO;"(62) 3356-1120 / Tel (62) 3356-1120; e-mail smasnovaveneza@gmail.com; Av. Vereador José Francisco da Silva, nº 72, Centro";AVENIDA Vereador José Francisco da Silva, 72, Centro, CEP: 75.470-000, NOVA VENEZA/GO;-;Confirmado via web;CadSUAS + https://novaveneza.go.gov.br/estrutura_organizacional?id=50;2026-08 — Página atual da estrutura organizacional do site oficial lista 'Messiane Rosa Agaipito Costa' como titular da Secretaria de Assistência Social — mesma pessoa do CadSUAS, com sobrenome adicional 'Costa'.
Novo Brasil;(62) 3381-1214;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;KAMILLA LAZARO TAVARES;(62) 3381-1214;PRAÇA DEGIR MIRANDA TELES, S/N, CENTRO, CEP: 76.285-000, NOVO BRASIL/GO;-;CadSUAS (gestão atual);CadSUAS;
Novo Gama;(61) 3628-1008;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;JOSCILENE MARTINS DOS SANTOS;"(61) 3628-1009 / Tel (61) 3628-7436; e-mail social@novogama.go.gov.br; Qd. 504, Lt. 15, s/n, Pedregal";AVENIDA Quadra : 504, 15, PEDREGAL, CEP: 72.860-000, NOVO GAMA/GO;http://www.prefeituranovogama.com.br;Confirmado via web;CadSUAS + https://novogama.go.gov.br/estrutura_organizacional;2026-08 — Site oficial atual lista Joscilene Martins dos Santos como titular. O órgão hoje se chama 'Secretaria de Promoção Social e Cidadania' (nome diferente do CadSUAS, mesma pasta e mesma pessoa).
Novo Planalto;(62) 3374-6259;SECRETARIA DA AÇÃO SOCIAL TRABALHO E HABITAÇÃO;Renata Aparecida Avelar Rodrigues;(62) 3374-6115;RUA SALVADOR, 0, CENTRO, CEP: 76.580-000, NOVO PLANALTO/GO;http:/www.novoplanalto.go.gov.br;Confirmado via web;CadSUAS + https://portalsr.com.br/novo-planalto-entrega-cartoes-de-programas-sociais-e-beneficia-familias/;2026-06 — Notícia de 24/06/2026 (Portal SR) cita 'Renata Avelar', primeira-dama e secretária municipal de Assistência Social, entregando cartões de programas sociais — mesma pessoa do CadSUAS (nome abreviado na notícia). Não localizei contato direto da secretaria publicado em fonte oficial.
Orizona;(64) 3474-1491 Ramal 00;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;Kátya Helou Cândido de Paula Freitas Ramos Bastos;Oculto para proteção de dados (LGPD);PRAÇA AMIZADE, 0, CAMPO FORMOSO, CEP: 75.280-015, ORIZONA/GO;-;CadSUAS (gestão atual);CadSUAS;
Ouro Verde de Goiás;(62) 3342-1125;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;BEATRIZ NAYARA REIS FONSECA;"(62) 3342-1125 / Tel (62) 3342-1125; e-mail assistenciasocial@ouroverdegoias.go.gov.br; Rua Honorato dos Santos, S/N, Qd. 50 Lt. 10, Centro";AVENIDA DO COMÉRCIO, 29, CENTRO, CEP: 75.165-000, OURO VERDE DE GOIAS/GO;-;Confirmado via web;CadSUAS + https://ouroverdegoias.go.gov.br/administracao/estrutura-org/;2026-08 — Página atual de estrutura organizacional do site oficial lista Beatriz Nayara Reis Fonseca como secretária de Assistência Social. Ela é esposa do prefeito Rodrigo Pereira Fonseca, reeleito para 2025-2028, o que reforça a continuidade no cargo.
Ouvidor;(64) 3478-1250 Ramal 0;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;ANA LUCIA DA SILVA;"(64) 3478-1250 / Tel (64) 3180-0010; e-mail acaosocial@ouvidor.go.gov.br; Av. Antonio Torquato, s/nº (esq. c/ Rua Anhanguera)";RUA Anhanguera, 0, CENTRO, CEP: 75.715-000, OUVIDOR/GO;-;Confirmado via web;CadSUAS + https://ouvidor.go.gov.br/secretaria-municipal-de-cidadania-e-assistencia-social-cras;2026-08 — Site oficial atual lista Ana Lúcia da Silva como Secretária Municipal de Cidadania e Assistência Social (órgão com nome ligeiramente diferente do CadSUAS, mesma pasta e mesma pessoa).
Padre Bernardo;(55) 1363-32428 Ramal 1794;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL E DESENVOLVIMENTO ECONOMICO;ANDRESSA FRANCIELE RODRIGUES DA SILVA;"(55) 1363-32428 / Tel (61) 3633-2428; e-mail semas@padrebernardo.go.gov.br; Rua 55, Qd. 22, Lts. 15/19, Setor Leste";RUA 55 QD 22 LOTE 13/15/17/19, 00, SETOR LESTE, CEP: 73.700-000, PADRE BERNARDO/GO;http://www.padrebernardo.go.gov.br;Confirmado via web;CadSUAS + https://padrebernardo.go.gov.br/estrutura/secretaria-municipal-de-assistencia-social/;2026-08 — Apesar de o mandato no CadSUAS terminar em 31/12/2024, a página atual da secretaria no site oficial continua listando Andressa Franciele Rodrigues da Silva, e notícia de evento em 06/05/2025 (Jornal Opção Entorno) a cita como secretária ('Andressa Franciely Rodrigues' — grafia variante da mesma pessoa). Permaneceu na nova gestão.
Palestina de Goiás;(64) 3662-1193;SECRETARIA MUNICIPAL DE BEM ESTAR SOCIAL;CAMILA SUENE MIRANDA ALVES;(64) 3662-1267;AVENIDA BASTOS, S/N, CENTRAL, CEP: 75.845-000, PALESTINA DE GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Palmeiras de Goiás;(64) 3430-2110;SECRETARIA DE ASSISTENCIA SOCIAL;JUSSARA PORTO MACHADO;(64) 3430-2121 Ramal 0;RUA Quintino Bocaiuva, 0, Centro, CEP: 76.190-000, PALMEIRAS DE GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Palmelo;(64) 3694-1307;SECRETARIA MUNICIPAL DE PROMOÇÃO E ASSISTENCIA SOCIAL;Miraiz Menezes da Costa Amorim;(64) 3694-1307 Ramal 22;AVENIDA EMANUEL, 435, CENTRO, CEP: 75.210-000, PALMELO/GO;-;CadSUAS (gestão atual);CadSUAS;
Palminópolis;(64) 3675-1167;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;FERNANDA KELEM BORGES E SILVA VAZ;"(64) 3675-1379 / Tel (64) 99344-8842 / (64) 3675-1379; e-mail pmassistenciasocial@yahoo.com.br; Rua Pedro Geraldo Lopes, s/n, Centro";RUA PEDRO GERALDO LOPES, 395, CENTRO, CEP: 75.990-000, PALMINOPOLIS/GO;-;Confirmado via web;CadSUAS + https://palminopolis.go.gov.br/administracao/estrutura-organizacional/;2026-08 — Página atual de estrutura organizacional do site oficial lista Fernanda Kelem Borges e Silva Vaz como secretária de Assistência Social (a mesma pessoa aparece também como titular da Saúde, indicando acúmulo de pastas).
Panamá;(64) 3479-1126;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Bruna Tiago da Cunha;(64) 3479-1148;AVENIDA Itumbiara, 00, CENTRO, CEP: 75.580-000, PANAMA/GO;-;CadSUAS (gestão atual);CadSUAS;
Paranaiguara;(64) 3655-0100;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;CÁTIA BARCELOS SANTOS BARBOSA;"(64) 3655-2435 / Tel (64) 3655-2435 ramal 135; e-mails asocialpguara@gmail.com e sec.acaosocial@paranaiguara.go.gov.br; Av. Oscar Bernardes, Qd. 34, Lt. 03, s/n, Centro";AVENIDA OSCAR BERNARDES, 0, CENTRO, CEP: 75.880-000, PARANAIGUARA/GO;http://www.paranaiguara.go.gov.br;Confirmado via web;CadSUAS + https://paranaiguara.go.gov.br/estrutura-organizacional/;2026-08 — Site oficial atual lista Cátia Barcelos Santos Barbosa (primeira-dama) como titular. O órgão hoje se chama 'Secretaria Municipal de Ação Social e Promoção Humana' (nome diferente do CadSUAS, mesma pasta e mesma pessoa).
Paraúna;(64) 3556-1800;SECRETARIA DE ASSISTENCIA SOCIAL;Loanna Arantes Ataídes Braz;"(64) 3957-7033 / Tel (64) 3556-7033 / 3556-7211 / 3556-7202; e-mail acaosocial@parauna.go.gov.br; Rua 17, s/n, Setor São Sebastião";PRAÇA Eugênio Sardinha da Costa, 02, cenrtro, CEP: 75.980-000, PARAUNA/GO;-;Confirmado via web;CadSUAS + https://www.parauna.go.gov.br/estrutura_organizacional/?id=71;2026-08 — Página atual da Secretaria de Assistência Social no site oficial lista Loanna Arantes Ataídes Braz como titular. Um resultado de busca em cache antigo citava 'Tiago Valadão' como responsável, mas a página oficial ao vivo confirma Loanna. Telefone exibido no site com grafia '64 35567-7033' (aparente erro de digitação de 3556-7033).
Perolândia;(64) 3639-1112 Ramal 22;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL E CIDADANIA;LUCI MARA BRIZOLLA DO AMARAL;(64) 3639-1712;RUA Rua Moises Moraes de Carvalho, 0, Renovação I, CEP: 75.823-000, PEROLANDIA/GO;-;CadSUAS (gestão atual);CadSUAS;
Petrolina de Goiás;(62) 3334-6559;Secretaria Municipal de Assistência Social;Cristiane Gomes Pereira;(62) 3148-0004;AVENIDA DIASSIS DE SOUZA BRITO, 0, JARDIM ESMERALDAS, CEP: 75.480-000, PETROLINA DE GOIAS/GO;http://www.petrolina.go.gov.br;CadSUAS (cadastro pré-2025, não confirmado);CadSUAS;Nenhuma fonte de 2025-2026 nomeia o(a) titular da Secretaria de Ação Social, Trabalho e Emprego. O site oficial descreve a pasta mas não publica o nome do(a) secretário(a) nem contato próprio (apenas o gabinete: (62) 9 9251-6292 / prefeitura@petrolina.go.gov.br). Contexto: o prefeito Tiago Pacheco (UB) foi reeleito em 2024 — mesma gestão desde 2021, quando Cristiane Gomes Pereira assumiu segundo o CadSUAS — o que sugere possível continuidade, mas sem confirmação nominal. Mantido o CadSUAS.
Pilar de Goiás;Oculto para proteção de dados (LGPD);SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;STEYCE SOUSA NEVES JAPIASSÚ DO NASCIMENTO;Oculto para proteção de dados (LGPD);AVENIDA Avenida Central Praça das Cavalhadas, 401, CENTRO, CEP: 76.370-000, PILAR DE GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Piracanjuba;(64) 3405-4020;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Gleide Sulamita de Souza Castro;Oculto para proteção de dados (LGPD);RUA Rua Jose Elias Resende, 124, CENTRO, CEP: 75.640-000, PIRACANJUBA/GO;-;CadSUAS (gestão atual);CadSUAS;
Piranhas;(64) 3665-7000;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL;LAINE BRAZ DOS SANTOS;(64) 3665-7000;AVENIDA Independência, 700, CENTRO, CEP: 76.230-000, PIRANHAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Pirenópolis;(62) 3331-1299;Secretaria Municipal Integrada de Saúde, Assistência Social,Esporte e Lazer;Hisham Mohamad Hamida;Oculto para proteção de dados (LGPD);RUA Virgílio Araujop Godinho, 0, Jardim Estrela Dalva II, CEP: 72.984-160, PIRENOPOLIS/GO;http://www.pirenopolis.go.gov.br/;CadSUAS (gestão atual);CadSUAS;
Pires do Rio;(64) 3461-4000 Ramal 0;Secretaria Municipal de Assistência Social;TATYANA MACEDO GONÇALVES BATISTA;(64) 3461-4000 Ramal 214;PRAÇA Francisco Felipe Machado, 37, Centro, CEP: 75.200-000, PIRES DO RIO/GO;-;CadSUAS (gestão atual);CadSUAS;
Planaltina;(61) 3637-1273;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL;LILIAN KELLY DE SOUZA;(61) 3637-3492;QUADRA QUADRA 20 MC, 06, SETOR LESTE, CEP: 73.750-000, PLANALTINA/GO;-;Confirmado via web;CadSUAS + https://perfildosmunicipios.com.br/2025/09/22/delegado-cristiomario-na-china-prefeito-de-planaltina-de-goias-trabalha-para-atrair-investimentos-para-cidades-do-entorno/;2025-09 — Matéria de 22/09/2025 cita 'a primeira-dama e secretária de Desenvolvimento Social, Lilian Kelly', esposa do prefeito Delegado Cristiomário (PP, gestão 2025-2028). Também aparece em vídeo do Facebook oficial da Prefeitura de Planaltina prestando contas como Secretária Municipal de Desenvolvimento Social, e a SMDS abriu seletivos em 2025-2026. Mesma pessoa do CadSUAS (LILIAN KELLY DE SOUZA), citada nas fontes apenas como 'Lilian Kelly'.
Pontalina;(64) 3471-1055;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL;MARNIA APARECIDA DE F. RIBEIRO GUIMARAES;(64) 3471-2385;AVENIDA COMERCIAL, 320, CENTRO, CEP: 75.620-000, PONTALINA/GO;-;Confirmado via web;CadSUAS + https://www.instagram.com/marniaguimaraes/;2026-08 — Mesma pessoa do CadSUAS ('MARNIA APARECIDA DE F. RIBEIRO GUIMARAES'). Bio atual do perfil (acessada em 08/2026): 'Primeira-Dama e Secretária de Desenvolvimento Social de Pontalina'. Ela é esposa do prefeito Edson Guimarães (MDB), reeleito para 2025-2028. Corroboração: Portal da Alego (10/03/2026) a cita como 'primeira-dama de Pontalina, Márnia Aparecida de Freitas' (https://portal.al.go.leg.br/noticias/162819/...), e o site oficial da prefeitura a nomeia como 'primeira-dama e secretária de desenvolvimento Social Márnia Guimarães' (matéria antiga, ~2022). Nenhuma fonte 2025+ a cita nominalmente no cargo em texto jornalístico datado — a confirmação apoia-se na bio atual + continuidade da gestão.
Porangatu;(08) 0036-25000;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;LEILIAN FERREIRA DA CUNHA;(08) 0036-25020;AVENIDA Mutunopolis, SN, Pilão de Pedra, CEP: 76.556-352, PORANGATU/GO;-;CadSUAS (gestão atual);CadSUAS;
Porteirão;(64) 3643-1144 Ramal 1144;Secretaria Municipal de Assistência Social;Maria do Carmo Tavares Silva;(64) 3643-1558;RUA MATO GROSSO, 838, Centro, CEP: 75.603-000, PORTEIRAO/GO;-;CadSUAS (cadastro pré-2025, não confirmado);CadSUAS;Nenhuma fonte de 2025-2026 nomeia a titular. O site oficial tem galeria de jan/2022 intitulada 'A Primeira Dama e Secretária de Assistência Social' (sem nome no texto), indicando que a primeira-dama acumula a pasta. O prefeito João Henrique Silva ('Henrique', MDB) foi reeleito em 2024, o que sugere possível continuidade de Maria do Carmo Tavares Silva, mas o site não publica nomes de secretários nem contato próprio da pasta (geral: (64) 3643-1144 / ouvidoria (64) 9 9277-9462). Mantido o CadSUAS.
Portelândia;(64) 3666-1159;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL E DO TRABALHO;ZILDAIR HONORIA RODRIGUES OLIVEIRA;(64) 3666-1332;PRAÇA PRAÇA MANOEL OLIVEIRA GUIMARÃES, SN, CENTRO, CEP: 75.843-000, PORTELANDIA/GO;-;CadSUAS (gestão atual);CadSUAS;
Posse;(62) 3481-1370;SECRETARIA MUNICIPAL DE AÇÃO SOCIAL;Jaynara Eloi de Melo Krauspenhar;(62) 3481-3657;RUA Nelson Vieira de Brito, 329, Central, CEP: 73.900-000, POSSE/GO;-;CadSUAS (gestão atual);CadSUAS;
Professor Jamil;(64) 3498-1494 Ramal 201;Secretaria Municipal de Assistencia Social;MARINEY PINHEIRO NOVAES;Oculto para proteção de dados (LGPD);RUA RUA MATILDE FERRARINE, 235, BOA NOVA, CEP: 75.645-000, PROFESSOR JAMIL/GO;http://www.professorjamil.go.gov.br;Confirmado via web;CadSUAS + https://portal.al.go.leg.br/noticias-dos-gabinetes/164132/gomide-reforca-parceria-em-professor-jamil-e-amplia-dialogo-por-melhorias;2026-04 — Matéria do Portal da Alego de 24/04/2026 cita 'secretária de Assistência Social Mariney Pinheiro Novais' participando de reunião em Professor Jamil. Grafia 'Novais' vs 'NOVAES' do CadSUAS = mesma pessoa. Prefeito atual: Ney Novaes (PT, gestão 2025-2028).
